"Date","Location","Crime Type","Description","Notes"
"2023-08-13","Downtown","Robbery","5'8, black hoodie","Took money from a convenience store"
"2023-08-13","Downtown","Public Disturbance","5'8, black hoodie","Playing music too loud in public"
"2023-08-13","Downtown","Public Disturbance","5'8, black hoodie","Distributing 'unauthorized' flyers"
"2023-08-12","Suburbia","Unlawful Assembly","5'7, red cap","Held a sign"
"2023-08-12","Suburbia","Societal Norm Breach","5'9, unkempt hair","Left trash bins outside for several days"
"2023-08-11","Uptown","Assault","5'9, grey shirt","Involved in a bar fight"
"2023-08-11","Uptown","Suspicious Activity","5'6, grey shirt","Spotted taking pictures of government buildings"
"2023-08-11","Uptown","Personal Dispute","5'7, brown coat","Suspected of cheating on spouse"
"2023-08-10","Park A19","Homicide","Unknown","Victim found in the park"
"2023-08-10","Park","Unlawful Gathering","Group in mismatched clothing","Unauthorized book club meeting"
"2023-08-10","Park","Public Annoyance","Group in mismatched clothing","Hosting a BBQ without inviting neighbors"
"2023-08-09","Mall Area","Public Disturbance","5'10, wearing glasses","Played 'protest' songs on a guitar"
"2023-08-09","Mall Area","Public Disturbance","5'10, wearing glasses","Having a loud phone conversation"
"2023-08-08","Uptown","Fraud","5'6, black jacket","Used counterfeit bills"
"2023-08-08","Uptown","Suspicious Activity","5'6, black jacket","Interviewed by 'unauthorized' foreign media"
"2023-08-08","Uptown","Societal Norm Breach","5'6, black jacket","Painted house a non-approved color"
"2023-08-07","Park O3","Vandalism","Group in colorful clothing","Drew peace symbols on park paths"
"2023-08-07","Park","Public Disturbance","Group in colorful clothing","Having a picnic and not cleaning up"
"2023-08-07","Park","Vandalism","Group in colorful clothing","Drew peace symbols on park paths"
"2023-08-06","Lakeside","Burglary","5'9, blue jeans","Broke into a lakeside cabin"
"2023-08-06","Lakeside","Unlawful Assembly","5'9, blue jeans","Chanting for 'justice'"
"2023-08-06","Lakeside","Annoyance","5'9, blue jeans","Revving car engine late at night"
"2023-08-05","Downtown","Suspicious Activity","Group in mixed attire","Conducting a silent sit-in"
"2023-08-05","Downtown","HOA Violation","House with bright pink facade","Painted house an unapproved color"
"2023-08-04","Park C9","Embezzlement","5'11, green shirt","Illegally siphoned company funds"
"2023-08-04","Park","Public Disturbance","5'11, green shirt","Reading aloud from a 'banned' book"
"2023-08-04","Park","Societal Norm Breach","5'11, green shirt","Walking dog without a leash"
"2023-08-03","Suburbia","Suspicious Activity","5'4, pink scarf","Seen painting a mural with a 'message'"
"2023-08-03","Suburbia","Car Theft","5'4, pink scarf","Stole a parked vehicle"
"2023-08-03","Suburbia","Public Disturbance","5'4, pink scarf","Arguing loudly in public"
"2023-08-02","Mall Area","Public Disturbance","5'7, black cap","Handing out pamphlets"
"2023-08-02","Mall Area","Public Annoyance","5'7, black cap","Jumped queue at the coffee shop"
"2023-08-01","Park I5","Arson","Unknown","Set fire to a trash bin"
"2023-08-01","Park","Arson","Unknown","Set fire to a trash bin"
"2023-08-01","Park","Societal Norm Breach","Group, blue clothing","Taking up too many tables at public BBQ area"
"2023-07-31","Lakeside","Suspicious Activity","5'8, white sneakers","Distributing leaflets about 'rights'"
"2023-07-31","Lakeside","HOA Violation","Lawn over 6 inches tall","Unmaintained front yard"
"2023-07-30","Park E8","Cybercrime","5'7, glasses","Hacked into a government website"
"2023-07-30","Park","Unlawful Assembly","Group in grey clothing","Conducting a yoga session with 'political' undertones"
"2023-07-30","Park","Societal Norm Breach","Group in grey clothing","Using drones in a non-drone area"
"2023-07-29","Uptown","Public Disturbance","5'10, blue shirt","Singing national songs with 'new' lyrics"
"2023-07-29","Uptown","Theft","5'10, blue shirt","Stole items from a grocery store"
"2023-07-29","Uptown","Public Disturbance","5'10, blue shirt","Talking loudly during a movie"
"2023-07-28","Downtown","Unlawful Assembly","Group in various attire","Gathering signatures for 'unapproved' petition"
"2023-07-28","Downtown","Public Annoyance","5'6, various attire","Feeding pigeons and causing a mess"
"2023-07-27","Park T1","Kidnapping","5'6, striped shirt","Took a person against their will"
"2023-07-27","Park","Suspicious Activity","5'7, yellow cap","Guiding a group discussion under a tree"
"2023-07-27","Park","Societal Norm Breach","5'6, striped shirt","Climbing trees and disrupting public"
"2023-07-26","Suburbia","Vandalism","5'5, green pants","Defaced a local monument"